sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
331,min-energy,star,50,3997,0.5,degrade,0.4,0.0016666666666666,1.648
332,min-energy,star,50,3997,0.5,degrade,0.5,0.0016666666666666,1.7
333,min-energy,star,50,3997,0.5,degrade,0.6,0.0022222222222222,1.773
334,min-energy,star,50,3997,0.5,kill,0.01,0.1016666666666666,2.016
335,min-energy,star,50,3997,0.5,kill,0.05,0.1077777777777777,1.918
336,min-energy,star,50,3997,0.5,kill,0.1,0.1155555555555555,1.96
337,min-energy,hierarchical,20,42,0.0,degrade,0.4,0.0177777777777777,1.032
338,min-energy,hierarchical,20,42,0.0,degrade,0.5,0.0233333333333333,1.171
339,min-energy,hierarchical,20,42,0.0,degrade,0.6,0.0327777777777777,1.208
340,min-energy,hierarchical,20,42,0.0,kill,0.01,0.0022222222222222,1.475
341,min-energy,hierarchical,20,42,0.0,kill,0.05,0.0672222222222222,1.434
342,min-energy,hierarchical,20,42,0.0,kill,0.1,0.0161111111111111,1.481
343,min-energy,hierarchical,20,42,0.5,degrade,0.4,0.0188888888888888,0.943
344,min-energy,hierarchical,20,42,0.5,degrade,0.5,0.0255555555555555,0.964
345,min-energy,hierarchical,20,42,0.5,degrade,0.6,0.0338888888888888,1.063
346,min-energy,hierarchical,20,42,0.5,kill,0.01,0.0255555555555555,1.614
347,min-energy,hierarchical,20,42,0.5,kill,0.05,0.0388888888888888,1.422
348,min-energy,hierarchical,20,42,0.5,kill,0.1,0.0588888888888888,1.213
349,min-energy,hierarchical,20,3997,0.0,degrade,0.4,0.0183333333333333,1.01
350,min-energy,hierarchical,20,3997,0.0,degrade,0.5,0.025,1.048
351,min-energy,hierarchical,20,3997,0.0,degrade,0.6,0.0344444444444444,1.184
352,min-energy,hierarchical,20,3997,0.0,kill,0.01,0.2483333333333333,1.378
353,min-energy,hierarchical,20,3997,0.0,kill,0.05,0.1905555555555555,1.217
354,min-energy,hierarchical,20,3997,0.0,kill,0.1,0.1222222222222222,1.234
